deck,p_habit,metric,n_pairs,mean_gap_delta,std_gap_delta,ci_low,ci_high,direction
78,0.3,wordlen_skew,10,0.009727125271,0.09469428244,-0.05340861182,0.05788532602,worse
78,0.3,wordlen_unique_mean,10,-0.004238133115,0.01940840277,-0.01577322511,0.007065291203,better
78,0.3,wordlen_unique_std,10,0.001308745948,0.01222824395,-0.005871652099,0.008399496522,worse
78,0.3,wordlen_unique_skew,10,-0.01184583671,0.1076268505,-0.08076721046,0.04423104928,better
78,0.3,wordlen_autocorr,10,0.04542107052,0.06257120825,0.007863710626,0.08144420316,worse
78,0.3,wordunique_mean,10,0.008087280334,0.01624199771,-0.002103002007,0.01722972471,worse
78,0.3,wordunique_std,10,0.005511120331,0.02460762297,-0.009454440954,0.02003308596,worse
78,0.3,wordunique_skew,10,0.0856002608,0.1820124173,-0.02196881456,0.1933335786,worse
78,0.3,wordchange_mean,10,0.01060264171,0.03887033635,-0.0115047425,0.0337396464,worse
78,0.3,wordchange_std,10,-0.00485777914,0.04591338705,-0.03276853521,0.02085637444,better
78,0.3,wordchange_skew,10,0.1664794676,0.3183229243,-0.0206117653,0.3512745593,worse
78,0.3,worddist_max,10,-0.207182324,0.03432018344,-0.227525808,-0.1875526465,better
78,0.3,worddist_shape,10,-0.3403757002,0.1249263216,-0.4174376574,-0.2701647869,better
78,0.3,wordbias_mean,10,-0.0002438382018,0.04125305946,-0.02433959731,0.02459174865,better
78,0.3,wordbias_std,10,0.1684138835,0.0947604789,0.1170405722,0.2268604868,worse
78,0.3,wordbias_skew,10,0.1892646845,0.02508340172,0.174319856,0.2035542437,worse
78,0.3,wordbias_lines_mean,10,0.2045356913,0.03462279572,0.1837423795,0.2242488648,worse
78,0.3,wordbias_lines_std,10,0.4079857802,0.09168557624,0.3522091549,0.4596870843,worse
78,0.3,wordbias_lines_skew,10,0.184849312,0.04246531277,0.1599329158,0.2089907836,worse
78,0.3,chardist_max,10,-0.01204987099,0.01165834702,-0.01851896416,-0.005084777717,better
78,0.3,chardist_shape,10,0.001509140717,0.00452459158,-0.000981335434,0.004327072994,worse
78,0.3,ngramdist_max,10,-0.006488931713,0.007520764473,-0.01095909745,-0.002244108046,better
78,0.3,ngramdist_shape,10,0.007634359169,0.001707947352,0.006694430143,0.008719068412,worse
78,0.3,charbias_mean,10,0.01871130932,0.03560265583,-0.001240465167,0.03944706307,worse
78,0.3,charbias_std,10,0.01634738356,0.04522469826,-0.01067495859,0.04253674373,worse
78,0.3,charbias_skew,10,0.09358569495,0.1678140326,-0.001514492242,0.195000291,worse
78,0.3,charbias_words_mean,10,0.01785625403,0.02081655464,0.005835052226,0.03034524743,worse
78,0.3,charbias_words_std,10,0.03126277938,0.04717554194,0.002798166966,0.05773958865,worse
78,0.3,charbias_words_skew,10,0.01860326047,0.02371178547,0.005029362166,0.03246422225,worse
78,0.3,unique_words,10,-0.2134313241,0.02435689307,-0.2271911898,-0.1984399606,better
78,0.3,repeated_words,10,-0.06965600507,0.04957379492,-0.1008861575,-0.0424110922,better
78,0.3,tripled_words,10,0,0,0,0,better
78,0.3,unique_chars,10,0.008414197681,0.006800955783,0.004438258118,0.01239244884,worse
78,0.3,repeated_chars,10,-0.006226803349,0.01554016759,-0.01501545362,0.003361564653,better
78,0.3,tripled_chars,10,0.005837074876,0.01157197924,-0.001446444183,0.01211371612,worse
78,0.3,unique_ngrams,10,0.02858674335,0.006994027643,0.02430455962,0.03255371632,worse
78,0.3,entropy,10,-0.120546591,0.01955580469,-0.1320219382,-0.1090295481,better
78,0.3,compression,10,-0.05157055788,0.007952538143,-0.05590821521,-0.046722857,better
78,0.3,zipf,10,-0.2072723103,0.2778999319,-0.3791313933,-0.04592529587,better
78,0.3,flipped_pairs,10,-0.1112329215,0.06007175418,-0.1472370988,-0.07695002314,better
78,0.5,wordlen_mean,10,0.009261368744,0.02099191746,-0.002783307832,0.02158376801,worse
78,0.5,wordlen_std,10,0.004875709223,0.02454713032,-0.009193261209,0.01974121941,worse
78,0.5,wordlen_skew,10,0.002482253218,0.1032900077,-0.06164841419,0.0624477877,worse
78,0.5,wordlen_unique_mean,10,-0.02674900048,0.03184555778,-0.04590434153,-0.008902543509,better
78,0.5,wordlen_unique_std,10,0.002151406004,0.02154228033,-0.00975082284,0.01545658844,worse
78,0.5,wordlen_unique_skew,10,-0.01150788867,0.1245102193,-0.09503412021,0.05055394485,better
78,0.5,wordlen_autocorr,10,0.03088483769,0.1368687524,-0.05129498985,0.1081827548,worse
78,0.5,wordunique_mean,10,0.02678539114,0.02874332851,0.009446947313,0.04345365795,worse
78,0.5,wordunique_std,10,0.01028466151,0.04046530645,-0.01368797882,0.03500482238,worse
78,0.5,wordunique_skew,10,0.07431719345,0.2370116743,-0.06286611253,0.2146376537,worse
78,0.5,wordchange_mean,10,0.01704907333,0.03166637301,-0.001775534612,0.03524295842,worse
78,0.5,wordchange_std,10,-0.002187992581,0.06568417548,-0.04231388048,0.03469962619,better
78,0.5,wordchange_skew,10,0.1856562672,0.409854891,-0.0687196628,0.4202582515,worse
78,0.5,worddist_max,10,-0.3519065831,0.0504021834,-0.3770682607,-0.3190670248,better
78,0.5,worddist_shape,10,-0.2590450048,0.1117444631,-0.3317834605,-0.2023143173,better
78,0.5,wordbias_mean,10,0.3262487423,0.05378220051,0.2952701147,0.3579666809,worse
78,0.5,wordbias_std,10,0.7196519646,0.09953441502,0.6634437271,0.7800386575,worse
78,0.5,wordbias_skew,10,0.4670757018,0.04403785103,0.442439044,0.4938735801,worse
78,0.5,wordbias_lines_mean,10,0.5088842885,0.03589394294,0.4869125869,0.5290613707,worse
78,0.5,wordbias_lines_std,10,0.8950886149,0.08707866809,0.8415571899,0.9440852532,worse
78,0.5,wordbias_lines_skew,10,0.4583212447,0.04546798057,0.4320484572,0.4847855284,worse
78,0.5,chardist_max,10,-0.01388700779,0.0223477036,-0.0270028731,-0.0006353533221,better
78,0.5,chardist_shape,10,7.829216982e-05,0.01097107698,-0.006369736542,0.006400669229,worse
78,0.5,ngramdist_max,10,-0.009657517079,0.01266209651,-0.01754931812,-0.002552228829,better
78,0.5,ngramdist_shape,10,0.02248512289,0.004172590721,0.01989728,0.02477406251,worse
78,0.5,charbias_mean,10,0.007038550833,0.02935832256,-0.009348877272,0.02465962971,worse
78,0.5,charbias_std,10,0.005482460805,0.06076624118,-0.03265929023,0.03923700298,worse
78,0.5,charbias_skew,10,0.1350637559,0.1869040807,0.02881501281,0.2491359882,worse
78,0.5,charbias_words_mean,10,0.01806210851,0.0367035424,-0.004712733966,0.03861016054,worse
78,0.5,charbias_words_std,10,0.07601962792,0.06746380576,0.03682665882,0.1153448234,worse
78,0.5,charbias_words_skew,10,0.01359049016,0.05225576283,-0.01184584398,0.04880614057,worse
78,0.5,unique_words,10,-0.4275420954,0.06060678398,-0.4627459489,-0.3917851295,better
78,0.5,repeated_words,10,-0.1951723556,0.116826043,-0.2657158066,-0.1302885894,better
78,0.5,tripled_words,10,0.006092538005,0.01926629683,0,0.01827761402,worse
78,0.5,unique_chars,10,0.01155796385,0.009651034386,0.005732750069,0.01710578649,worse
78,0.5,repeated_chars,10,-0.0009905058927,0.01519199081,-0.01023661819,0.007624529155,better
78,0.5,tripled_chars,10,-0.005478815604,0.01765351262,-0.01568356384,0.005315948412,better
78,0.5,unique_ngrams,10,0.0687226946,0.01507617847,0.05945930151,0.07726600031,worse
78,0.5,entropy,10,-0.2963878913,0.05584080298,-0.3285236626,-0.2628640373,better
78,0.5,compression,10,-0.06135355676,0.02286108646,-0.07373680762,-0.04757538381,better
78,0.5,zipf,10,0.1949785908,0.3460793476,-0.005320257888,0.3990942372,worse
78,0.5,flipped_pairs,10,-0.3390976723,0.05846101686,-0.3730510024,-0.3034027083,better
78,1,wordlen_mean,10,0.009511434241,0.01228863855,0.002501744292,0.01653508573,worse
78,1,wordlen_std,10,-0.00338310323,0.03567020939,-0.02430229661,0.01800570011,better
78,1,wordlen_skew,10,-0.002560186447,0.1761655258,-0.1104424116,0.09927767305,better
78,1,wordlen_unique_mean,10,-0.0400608342,0.02868358946,-0.05661127904,-0.02295858297,better
